,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,cluster
19338,2GyA33q5rti5IxkMQemRDH,0.687,0.761,-4.582,0.0876,0.102,0.0,0.743,113.939,4,27
19339,3pXF1nA74528Edde4of9CC,0.765,0.356,-5.556,0.195,0.223,0.0,0.189,96.991,4,4
19340,7yyRTcZmCiyzzJlNzGC9Ol,0.886,0.525,-7.39,0.131,0.236,0.0,0.708,145.99,4,6
19341,5mPSyjLatqB00IkPqRlbTE,0.713,0.462,-10.027,0.123,0.192,2.16e-06,0.0594,133.053,4,19
19342,46jLy47W8rkf8rEX04gMKB,0.552,0.689,-6.444,0.0425,0.0915,0.0,0.349,99.961,4,10
19343,62aXseVSNAFLRweK5nyb3F,0.691,0.79,-5.216,0.0561,0.0243,0.0,0.734,95.047,4,28
19344,5Fim1gaXBgsiFfsQAfQSDS,0.832,0.608,-6.042,0.0385,0.282,0.0,0.589,94.013,4,19
19345,6splO3UF8hSmK33y5fJTNk,0.669,0.747,-7.108,0.0428,0.141,0.0,0.483,122.531,4,19
19346,19a3JfW8BQwqHWUMbcqSx8,0.465,0.735,-3.715,0.117,0.0711,0.0,0.409,173.935,4,21
19347,6bLopGnirdrilrpdVB6Um1,0.639,0.785,-6.167,0.174,0.0174,0.00107,0.686,191.95,4,9
19348,494OU6M7NOf4ICYb4zWCf5,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.884,120.076,4,27
19349,7ghmZhLpmQe9nTluI1czmr,0.581,0.531,-6.829,0.0322,0.0731,3.27e-06,0.273,75.255,4,10
19350,5Sa3hqZfRpwJb3jCkJel2a,0.584,0.904,-5.175,0.0321,5.57e-05,0.878,0.486,125.013,4,7
19351,6pbzuMGgcAEaDOtuNbbJux,0.836,0.542,-4.309,0.279,0.0341,0.0,0.247,84.075,4,4
19352,7gra38BG29mMhUFU4yBacW,0.324,0.696,-5.588,0.0703,0.0245,0.0154,0.423,108.828,4,10
19353,2ruw2Kq8lgyqwemZik9bUg,0.812,0.88,-1.521,0.259,0.295,0.0,0.778,90.098,4,4
19354,0jSIovJtKxEXH6vI4oRx7I,0.505,0.842,-3.316,0.0475,0.0576,0.0,0.671,172.136,4,21
19355,0D3J2SJrmHmRMeuaHieHq3,0.0979,0.00956,-34.311,0.0388,0.953,0.938,0.071,71.729,4,2
19356,5XhXt7kcM4rSvo03faDAjY,0.812,0.88,-1.521,0.259,0.295,0.0,0.778,90.098,4,4
19357,0u0k7qQ5F5lzTf5rsnWY8v,0.812,0.88,-1.521,0.259,0.295,0.0,0.778,90.098,4,4
19358,6SzufaQmHynUYtdWtahjmc,0.575,0.911,-4.871,0.115,0.00255,0.0,0.322,122.429,4,0
19359,12ZTpSvqoRhlZh6GZZEvuR,0.767,0.65,-7.379,0.106,0.139,0.000102,0.38,114.507,4,19
19360,1YzIe5I0UNPgPRPxYpe92f,0.753,0.678,-7.065,0.0527,0.0735,8.16e-05,0.364,124.0,4,19
19361,7693gA0IZiwTvKtcXn0Eaq,0.607,0.568,-8.253,0.0257,0.428,0.0373,0.879,90.679,4,14
19362,14A7iordd24zLljUxI7Hc3,0.61,0.878,-5.436,0.0498,0.519,0.0,0.758,133.054,4,14
19363,67OLUfK4rZEkNnhfwNLqEH,0.593,0.75,-5.098,0.0476,0.26,0.0,0.437,153.806,4,0
19364,2XkkSM1CCpY1ljqohN5ldg,0.504,0.162,-18.266,0.0822,0.925,0.103,0.185,111.861,4,18
19365,17RhYKe8Bu7cWyCQB8kN4o,0.52,0.318,-10.257,0.0263,0.756,0.041,0.198,86.432,4,16
19366,1WdvlNe4W8fKgBKb07UXKY,0.908,0.402,-10.472,0.294,0.17,2.88e-06,0.19,102.015,4,4
19367,66Y3veNiPRYFBYH3nP8ln2,0.602,0.758,-9.503,0.28,0.606,0.0,0.467,90.002,4,13
19368,7Ca06cMSgTwcz2JfxvAD3E,0.876,0.786,-3.515,0.0787,0.207,0.812,0.808,154.024,4,20
19369,3jJZVeExYzVYiV6Y9Fl3DX,0.423,0.954,-3.157,0.047,0.0021,0.0,0.5,144.553,4,21
19370,0jpk88zk40MjQ63ljrq7V2,0.687,0.606,-5.92,0.0262,0.178,0.000326,0.748,80.569,4,28
19371,0sEm1ld0V8YTCPcjPVfIsc,0.711,0.718,-5.739,0.038,0.00824,0.00208,0.688,117.071,4,27
19372,1ZRPhbplXmODTxBfmILr16,0.324,0.997,-3.44,0.264,0.00772,0.11,0.316,200.031,4,9
19373,79AHPJd8upvNxyK2qQcY8J,0.745,0.663,-5.056,0.423,0.078,0.0,0.686,167.137,4,9
19374,4xhsWYTOGcal8zt0J161CU,0.943,0.558,-4.911,0.0568,0.0026,2.19e-06,0.606,104.983,4,19
19375,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.564,169.994,4,21
19376,6usohdchdzW9oML7VC4Uhk,0.561,0.604,-4.409,0.0337,0.199,1.9e-05,0.242,159.92,3,3
19377,3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,-3.18,0.0319,0.256,0.0,0.844,111.018,1,25
19378,4KULAymBBJcPRpk1yO4dOG,0.429,0.453,-7.746,0.0459,0.554,2e-06,0.155,77.639,4,16
19379,7dJYggqjKo71KI9sLzqCs8,0.75,0.674,-6.128,0.097,0.228,8.91e-05,0.392,123.026,4,19
19380,6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,-5.692,0.0603,0.151,0.0,0.219,105.029,3,3
